Q.No,Problem Name,Detailed Solution,Problem Link,Video Solution,C++ Code,Java Code
1,Set Matrix Zeros,Solution,Click,Youtube,Code,Code
2,Pascal Triangle,Solution,Click,YouTube,Code,Code
3,Next Permutation,Solution,Click,YouTube,Code,Code
4,Kadane Algorithm,Solution,Click,YouTube,Code,Code
5,Sort an array of 0 1 2,Solution,Click,YouTube,Code,Code
6,Stock Buy and Sell,Solution,Click,YouTube,Code,Code
1,Rotate Matrix,Solution,Click,Youtube,Code,Code
2,Merge Overlapping Subintervals,Solution,Click,YouTube,Code,Code
3,Merge two sorted Arrays without extra space,Solution,Click,YouTube,Code,Code
4,Find the duplicate in an array of N+1 integers.,Solution,Click,YouTube,Code,Code
5,Repeat and Missing Number,Solution,Click,YouTube,Code,Code
6,Inversion of Array (Pre-req: Merge Sort),Solution,Click,YouTube,Code,Code
1,Search in a 2d Matrix,Solution,Click,Youtube,Code,Code
2,"Pow(X,n)",Solution,Click,YouTube,Code,Code
3,Majority Element (greater than half times),Solution,Click,YouTube,Code,Code
4,Majority Element (greater than one third times),Solution,Click,YouTube,Code,Code
5,Grid Unique Paths,Solution,Click,YouTube,Code,Code
6,Reverse Pairs (Leetcode),Solution,Click,YouTube,Code,Code
1,2-Sum-Problem,Solution,Click,Youtube,Code,Code
2,4-sum-Problem,Solution,Click,YouTube,Code,Code
3,Longest Consecutive Sequence,Solution,Click,YouTube,Code,Code
4,Largest Subarray with 0 sum,Solution,Click,YouTube,Code,Code
5,Count number of subarrays with given Xor K,Solution,Click,YouTube,Code,Code
6,Longest Substring without repeat,Solution,Click,YouTube,Code,Code
1,Reverse a LinkedList,Solution,Click,Youtube,Code,Code
2,Find the middle of LinkedList,Solution,Click,YouTube,Code,Code
3,Merge two sorted Linked List (use method used in mergeSort),Solution,Click,YouTube,Code,Code
4,Remove N-th node from back of LinkedList,Solution,Click,YouTube,Code,Code
5,Add two numbers as LinkedList,Solution,Click,YouTube,Code,Code
6,Delete a given Node when a node is given. (0(1) solution),Solution,Click,YouTube,Code,Code
1,Find intersection point of Y LinkedList,Solution,Click,Youtube,Code,Code
2,Detect a cycle in Linked List,,Click,YouTube,Code,Code
3,Reverse a LinkedList in groups of size k.,,Click,YouTube,Code,Code
4,Check if a LinkedList is palindrome or not.,,Click,YouTube,Code,Code
5,Find the starting point of the Loop of LinkedList,,Click,YouTube,Code,Code
6,Flattening of a LinkedList,,Click,YouTube,Code,Code
7,Rotate a LinkedList,,Click,YouTube,Code,Code
1,Clone a Linked List with random and next pointer,,Click,Youtube,Code,Code
2,3 sum,Solution,Click,YouTube,Code,Code
3,Trapping rainwater,Solution,Click,YouTube,Code,Code
4,Remove Duplicate from Sorted array,Solution,Click,YouTube,Code,Code
5,Max consecutive ones,Solution,Click,YouTube,Code,Code
1,N meeting in one room,Solution,Click,Youtube,Code,Code
